### Cluster 45 — Symptoms (134)
Symptom,Frequency
heaviness in nape muscles,1
severe pains under left scapula,1
violent pain under seventh rib,2
stiffness of right knee,1
tearing in metacarpal bones,1
limbs feel stiff,1
coldness of left arm,1
pain behind sternum,1
oedema,1
sensation as if lower lumbar vertebrae would separate,1
bitter taste when drinking,1
violent pain in knee,1
vertebrae separation sensation on stooping,1
sensation as if abdomen constricted with string,1
violent tearing pains in limbs,2
ankle hardest on inner side,1
neck feels as if broken,1
pulse full,1
thorax stitches worse on inspiration,1
pain in cervical muscles,1
limbs feel heavy,1
hands hot,1
drawing in occiput,1
stiffness of wrists,1
drawing in nape,1
paralytic pain in left shoulder,1
hip pain extends to feet,1
thorax stitches worse on motion,1
pain in right clavicle,1
rheumatic troubles about chest,1
sensation of sand in eye,1
urine dark yellow,1
oedema from venous congestion,1
violent tearing pains in back,2
pain under right shoulder blade,2
stiffness of right neck muscles,1
sole cramps worse by putting foot down,1
hip pain worse on right side,1
severe pain in spine between shoulders,1
amaurosis from rheumatic troubles,1
anxious,1
sensation as if weights hung on right leg,1
lancinating pains in pectoral muscles,1
head drawn to left,1
stitches in right side of chest,1
pressing pain beneath right scapula,1
pain across umbilicus,1
rose-red elastic swelling,3
fingertips cold,1
violent pain in popliteal space,1
tightness of chest,1
urine milky,1
foot oedematous,1
associated with hepatic affections,1
yellow nose,1
cutting pains in arms,1
shoulder pain from scapula,1
rheumatic troubles about abdomen,1
left half of neck stiff,1
pressure extending to neck,1
pulse hard,1
hip pain extends to legs,1
paralytic pain in left arm,1
tongue thickly coated yellow,1
intellect dull,1
swelling of elbows,1
vertebrae soreness worse by motion,1
antidotes bryonia,1
constant pain under right scapula,1
bitter taste when eating,1
rose-coloured elastic swelling of ankle joints,3
finger pain worse by pressure,1
pain over elbow joint,1
burning in right knee,1
patient sensitive to touch,1
face yellow,1
yellow forehead,1
pain extends into chest,1
stiffness of cervical muscles,1
trembling of knees,1
urine turbid,1
periodic tightness in chest,1
tension in occiput,1
heaviness in occiput,1
spasmodic drawing pains in inguinal regions,2
pain extends into stomach,1
oedema mostly about ankle,1
eyes red,1
cramps in soles of feet,1
soreness in right chest,1
hip pain extends to abdomen,1
violent pains in right shoulder joint,2
sprained pain in left shoulder,1
pain in chest along sternum,1
yellow cheeks,1
deep-seated pain in right chest,1
indifferent,1
veins of hands swollen,1
paralytic heaviness of arms,2
tension in nape muscles,1
legs swollen,1
thorax stitches worse on cough,1
tearing pains from nape to sacrum,1
drawing from sacrum to right scrobiculum,1
limbs feel lame,1
vertebrae soreness worse on pressure,1
intellect impaired,1
pain in heel as if pinched,1
constrictive pressure below left clavicle,2
full heavy feeling in abdomen,2
urine profuse,1
cutting pain in arms,1
reduced freedom of arm use,1
back pains worse from touch,1
oppressive pain beneath right scapula,1
stitches beneath right scapula,1
