### Cluster 23 — Symptoms (183)
Symptom,Frequency
thirst,2
bruised feeling,2
lack of power in limbs after sitting,1
tension as if bandaged when walking,1
patient feels overpowered,1
prickling in wrist,1
pains to right shoulder,2
great weariness,1
heavy pain in back muscles,1
convulsive trembling of limbs,1
pressive pain in sacral region worse jars,1
unsteadiness of knee joints,1
tearing pain in thigh,1
tearing pain in forearm,1
drawing pain in thigh,1
weak limbs during repose,1
arms hang powerless as if paralyzed,1
puffy joints,1
tearing pain in elbow joints,1
excitement,1
rapid thought changes,1
raging delirium worse at night,1
sudden attack in acute articular rheumatism,1
coldness in feet especially toes,1
paralysis of wrist,1
strong pulse,1
numb tingling in arms,1
light aggravates,1
dry hot skin,1
inflamed joints,1
cries if touched,1
sensitiveness to cold air,1
predicts death day,1
burning pain on moving eyes,1
tingling upward on stepping,1
cutting pain in knees,1
toes go to sleep while walking,1
inflammation in cellular tissues,1
hot feet,1
tearing pain in nape,1
formication up back,1
transient bone pains in metacarpal bones,1
back stiffness,1
shortened tendo achillis,1
pressing pain on moving eyes,1
shooting pain on moving eyes,1
tearing pain from shoulder to fingers,1
numbness of affected parts,1
numb tingling in fingers,1
quieter morning with excessive sweat,1
constriction about head,1
hot palms,1
trembling with shooting pains,1
shooting pain in right elbow to wrist worse flexing fingers,1
cold sensation down spine,1
jerking pain down left back,1
numb tingling in hands,1
shooting pain in right upper arm,1
dull pain in neck muscles,1
anxiety about heart,2
hot right hip joint,1
drawing pain in scapulae,1
drawing in tendinous expansions,1
tearing pain in left hip joint,1
convulsive contracting of limbs,1
bright red joints,2
coldness of extremities,1
tingling down left arm,1
numbness of arms,1
drawing pain in elbow joints,1
tensive pain in lumbar region worse stepping,1
bruised pain between shoulders,1
crawling in limbs,1
paralytic pain decin thumb,1
stinging in kidney region,1
cutting pain from spine to abdomen,1
coldness of ankles,1
throbbing knees,1
painful right hip joint especially to touch,1
painful knees,1
weariness,1
acuteness of senses,1
stiff legs after cold,1
heartburn down back,1
tearing pains in small of back worse by pressure,1
heavy limbs during repose,1
swollen right hip joint,1
great agitation about heart,1
hot hands,1
contracted pulse,1
painful shoulders feel sinking under weight,1
violent digging pains in chest sides worse inspiration,2
tearing pain in deep neck muscles,1
severe tearing in left humerus head,1
pain in right shoulder joint,2
pains to right ear,1
tearing pain from shoulder to wrist,1
violent digging pains in back worse inspiration,2
exhaustion,1
full pulse,1
drawing pain in right upper arm,1
anxious lamentations,1
tearing pain in scapulae,1
helplessness with pain in femur head,1
sweaty palms,1
hurried thought changes,1
coldness of arms,1
heavy feeling,1
formication of scalp as if hair stands on end,1
numbness in small of back to legs,1
cramping pain in forearm,1
sensation of swollen parts,1
numbness in limbs after sitting,1
stitching pain in knee joints,1
acute rheumatic fevers,1
tensive pain in sacral region worse jars,1
formication of hands,1
cold sensation between scapulae,1
inflammation in serous tissues,1
creeping pain in fingers worse writing,1
paralytic stiffness of right upper arm,1
drawing pain in limb joints,1
painful limbs during repose,1
great thirst for cold water,1
cold fingers,2
numbness down left arm,1
transient bone pains in long bones,1
intolerable pains driving to delirium,1
feet go to sleep while walking,1
lost sensation in fingers,1
drawing pains in muscles of neck,2
rheumatism of facial muscles sensitive to touch,1
pressive pain in lumbar region worse stepping,1
cold sweat on toes,1
small pulse,1
variable humor,1
dull pain in right elbow to wrist worse flexing fingers,1
constriction about chest,1
formication down back,1
drawing pain in shoulder joints,1
drawing pain in wrists,1
intense pain down left arm,1
formication of arms,1
hot dry skin,1
tension about ankles,1
sore neck painful to touch,1
coldness of feet,1
drawing pain in left hip joint,1
great sadness,1
vexation with self,1
cold sweat on arms,1
bruised pain down back,1
fear of death,1
intermittent pulse,1
digging pain down left back,1
confused ideas,1
intolerable pain,1
little difficulties insurmountable,1
tired limbs during repose,1
great anxiety,1
ophthalmia from cold dry winds,1
head insecurity due to lack of muscle control worse toward night,1
cold sweat on soles,1
bruised pain in last lumbar vertebra,1
dull pain in back muscles,1
death-like oppression about heart,1
noise aggravates,1
swollen knees,2
heavy pain in neck muscles,1
effective early before disease localization,1
paralytic drawing in feet,1
knife-like pain in knee joints,1
numbness of whole limb after sitting,1
tearing pain from shoulder to forearm,1
tingling with shooting pains,1
sleeplessness from knee pain must sit up,1
stiffness worse on motion,1
bad effects of cold dry winds,1
dreadful apprehension,1
deep red vessels,1
tearing pain in wrists,1
lameness of affected parts,1
constriction about precordia,1

### Top Remedies
Remedy,Symptoms_Covered
aconitum napellus,183
actea spicata,2
ferrum phosphoricum,1
natrum muriaticum,1
palladium,1
menyanthes trifoliata,1
mezereum,1
nux moschata,1
antimonium crudum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
cutting pain in knees,lack of power in limbs after sitting,1.0,1
cutting pain in knees,tension as if bandaged when walking,1.0,1
cutting pain in knees,patient feels overpowered,1.0,1
cutting pain in knees,prickling in wrist,1.0,1
cutting pain in knees,pains to right shoulder,1.0,1
cutting pain in knees,great weariness,1.0,1
cutting pain in knees,heavy pain in back muscles,1.0,1
cutting pain in knees,convulsive trembling of limbs,1.0,1
cutting pain in knees,pressive pain in sacral region worse jars,1.0,1
cutting pain in knees,unsteadiness of knee joints,1.0,1
cutting pain in knees,tearing pain in thigh,1.0,1
cutting pain in knees,tearing pain in forearm,1.0,1
cutting pain in knees,drawing pain in thigh,1.0,1
cutting pain in knees,weak limbs during repose,1.0,1
cutting pain in knees,arms hang powerless as if paralyzed,1.0,1
cutting pain in knees,puffy joints,1.0,1
cutting pain in knees,tearing pain in elbow joints,1.0,1
cutting pain in knees,excitement,1.0,1
cutting pain in knees,rapid thought changes,1.0,1
cutting pain in knees,raging delirium worse at night,1.0,1
cutting pain in knees,sudden attack in acute articular rheumatism,1.0,1
cutting pain in knees,coldness in feet especially toes,1.0,1
cutting pain in knees,paralysis of wrist,1.0,1
cutting pain in knees,strong pulse,1.0,1
cutting pain in knees,numb tingling in arms,1.0,1
cutting pain in knees,light aggravates,1.0,1
cutting pain in knees,dry hot skin,1.0,1
cutting pain in knees,inflamed joints,1.0,1
cutting pain in knees,cries if touched,1.0,1
cutting pain in knees,sensitiveness to cold air,1.0,1
cutting pain in knees,predicts death day,1.0,1
cutting pain in knees,burning pain on moving eyes,1.0,1
cutting pain in knees,tingling upward on stepping,1.0,1
cutting pain in knees,toes go to sleep while walking,1.0,1
cutting pain in knees,inflammation in cellular tissues,1.0,1
cutting pain in knees,thirst,1.0,1
cutting pain in knees,hot feet,1.0,1
cutting pain in knees,bruised feeling,1.0,1
cutting pain in knees,tearing pain in nape,1.0,1
cutting pain in knees,formication up back,1.0,1
cutting pain in knees,transient bone pains in metacarpal bones,1.0,1
cutting pain in knees,back stiffness,1.0,1
cutting pain in knees,shortened tendo achillis,1.0,1
cutting pain in knees,pressing pain on moving eyes,1.0,1
cutting pain in knees,shooting pain on moving eyes,1.0,1
cutting pain in knees,tearing pain from shoulder to fingers,1.0,1
cutting pain in knees,numbness of affected parts,1.0,1
cutting pain in knees,numb tingling in fingers,1.0,1
cutting pain in knees,quieter morning with excessive sweat,1.0,1
cutting pain in knees,constriction about head,1.0,1
cutting pain in knees,hot palms,1.0,1
cutting pain in knees,trembling with shooting pains,1.0,1
cutting pain in knees,shooting pain in right elbow to wrist worse flexing fingers,1.0,1
cutting pain in knees,cold sensation down spine,1.0,1
cutting pain in knees,jerking pain down left back,1.0,1
cutting pain in knees,numb tingling in hands,1.0,1
cutting pain in knees,shooting pain in right upper arm,1.0,1
cutting pain in knees,dull pain in neck muscles,1.0,1
cutting pain in knees,anxiety about heart,1.0,1
cutting pain in knees,hot right hip joint,1.0,1
cutting pain in knees,drawing pain in scapulae,1.0,1
cutting pain in knees,drawing in tendinous expansions,1.0,1
cutting pain in knees,tearing pain in left hip joint,1.0,1
cutting pain in knees,convulsive contracting of limbs,1.0,1
cutting pain in knees,bright red joints,1.0,1
cutting pain in knees,coldness of extremities,1.0,1
cutting pain in knees,tingling down left arm,1.0,1
cutting pain in knees,numbness of arms,1.0,1
cutting pain in knees,drawing pain in elbow joints,1.0,1
cutting pain in knees,tensive pain in lumbar region worse stepping,1.0,1
cutting pain in knees,bruised pain between shoulders,1.0,1
cutting pain in knees,crawling in limbs,1.0,1
cutting pain in knees,paralytic pain decin thumb,1.0,1
cutting pain in knees,stinging in kidney region,1.0,1
cutting pain in knees,cutting pain from spine to abdomen,1.0,1
cutting pain in knees,coldness of ankles,1.0,1
cutting pain in knees,throbbing knees,1.0,1
cutting pain in knees,painful right hip joint especially to touch,1.0,1
cutting pain in knees,painful knees,1.0,1
cutting pain in knees,weariness,1.0,1
cutting pain in knees,acuteness of senses,1.0,1
cutting pain in knees,stiff legs after cold,1.0,1
cutting pain in knees,heartburn down back,1.0,1
cutting pain in knees,tearing pains in small of back worse by pressure,1.0,1
cutting pain in knees,heavy limbs during repose,1.0,1
cutting pain in knees,swollen right hip joint,1.0,1
cutting pain in knees,great agitation about heart,1.0,1
cutting pain in knees,hot hands,1.0,1
cutting pain in knees,contracted pulse,1.0,1
cutting pain in knees,painful shoulders feel sinking under weight,1.0,1
cutting pain in knees,violent digging pains in chest sides worse inspiration,1.0,1
cutting pain in knees,tearing pain in deep neck muscles,1.0,1
cutting pain in knees,severe tearing in left humerus head,1.0,1
cutting pain in knees,pain in right shoulder joint,1.0,1
cutting pain in knees,pains to right ear,1.0,1
cutting pain in knees,tearing pain from shoulder to wrist,1.0,1
cutting pain in knees,violent digging pains in back worse inspiration,1.0,1
cutting pain in knees,exhaustion,1.0,1
cutting pain in knees,full pulse,1.0,1
cutting pain in knees,drawing pain in right upper arm,1.0,1
cutting pain in knees,anxious lamentations,1.0,1
cutting pain in knees,tearing pain in scapulae,1.0,1
cutting pain in knees,helplessness with pain in femur head,1.0,1
cutting pain in knees,sweaty palms,1.0,1
cutting pain in knees,hurried thought changes,1.0,1
cutting pain in knees,coldness of arms,1.0,1
cutting pain in knees,heavy feeling,1.0,1
cutting pain in knees,formication of scalp as if hair stands on end,1.0,1
cutting pain in knees,numbness in small of back to legs,1.0,1
cutting pain in knees,cramping pain in forearm,1.0,1
cutting pain in knees,sensation of swollen parts,1.0,1
cutting pain in knees,numbness in limbs after sitting,1.0,1
cutting pain in knees,stitching pain in knee joints,1.0,1
cutting pain in knees,acute rheumatic fevers,1.0,1
cutting pain in knees,tensive pain in sacral region worse jars,1.0,1
cutting pain in knees,formication of hands,1.0,1
cutting pain in knees,cold sensation between scapulae,1.0,1
cutting pain in knees,inflammation in serous tissues,1.0,1
cutting pain in knees,creeping pain in fingers worse writing,1.0,1
cutting pain in knees,paralytic stiffness of right upper arm,1.0,1
cutting pain in knees,drawing pain in limb joints,1.0,1
cutting pain in knees,painful limbs during repose,1.0,1
cutting pain in knees,great thirst for cold water,1.0,1
cutting pain in knees,cold fingers,1.0,1
cutting pain in knees,numbness down left arm,1.0,1
cutting pain in knees,transient bone pains in long bones,1.0,1
cutting pain in knees,intolerable pains driving to delirium,1.0,1
cutting pain in knees,feet go to sleep while walking,1.0,1
cutting pain in knees,lost sensation in fingers,1.0,1
cutting pain in knees,drawing pains in muscles of neck,1.0,1
cutting pain in knees,rheumatism of facial muscles sensitive to touch,1.0,1
cutting pain in knees,pressive pain in lumbar region worse stepping,1.0,1
cutting pain in knees,cold sweat on toes,1.0,1
cutting pain in knees,small pulse,1.0,1
cutting pain in knees,variable humor,1.0,1
cutting pain in knees,dull pain in right elbow to wrist worse flexing fingers,1.0,1
cutting pain in knees,constriction about chest,1.0,1
cutting pain in knees,formication down back,1.0,1
cutting pain in knees,drawing pain in shoulder joints,1.0,1
cutting pain in knees,drawing pain in wrists,1.0,1
cutting pain in knees,intense pain down left arm,1.0,1
cutting pain in knees,formication of arms,1.0,1
cutting pain in knees,hot dry skin,1.0,1
cutting pain in knees,tension about ankles,1.0,1
cutting pain in knees,sore neck painful to touch,1.0,1
cutting pain in knees,coldness of feet,1.0,1
cutting pain in knees,drawing pain in left hip joint,1.0,1
cutting pain in knees,great sadness,1.0,1
cutting pain in knees,vexation with self,1.0,1
cutting pain in knees,cold sweat on arms,1.0,1
cutting pain in knees,bruised pain down back,1.0,1
cutting pain in knees,fear of death,1.0,1
cutting pain in knees,intermittent pulse,1.0,1
cutting pain in knees,digging pain down left back,1.0,1
cutting pain in knees,confused ideas,1.0,1
cutting pain in knees,intolerable pain,1.0,1
cutting pain in knees,little difficulties insurmountable,1.0,1
cutting pain in knees,tired limbs during repose,1.0,1
cutting pain in knees,great anxiety,1.0,1
cutting pain in knees,ophthalmia from cold dry winds,1.0,1
cutting pain in knees,head insecurity due to lack of muscle control worse toward night,1.0,1
cutting pain in knees,cold sweat on soles,1.0,1
cutting pain in knees,bruised pain in last lumbar vertebra,1.0,1
cutting pain in knees,dull pain in back muscles,1.0,1
cutting pain in knees,death-like oppression about heart,1.0,1
cutting pain in knees,noise aggravates,1.0,1
cutting pain in knees,swollen knees,1.0,1
cutting pain in knees,heavy pain in neck muscles,1.0,1
cutting pain in knees,effective early before disease localization,1.0,1
cutting pain in knees,paralytic drawing in feet,1.0,1
cutting pain in knees,knife-like pain in knee joints,1.0,1
cutting pain in knees,numbness of whole limb after sitting,1.0,1
cutting pain in knees,tearing pain from shoulder to forearm,1.0,1
cutting pain in knees,tingling with shooting pains,1.0,1
cutting pain in knees,sleeplessness from knee pain must sit up,1.0,1
cutting pain in knees,stiffness worse on motion,1.0,1
cutting pain in knees,bad effects of cold dry winds,1.0,1
cutting pain in knees,dreadful apprehension,1.0,1
cutting pain in knees,deep red vessels,1.0,1
cutting pain in knees,tearing pain in wrists,1.0,1
cutting pain in knees,lameness of affected parts,1.0,1
cutting pain in knees,constriction about precordia,1.0,1
head insecurity due to lack of muscle control worse toward night,lack of power in limbs after sitting,1.0,1
head insecurity due to lack of muscle control worse toward night,tension as if bandaged when walking,1.0,1
head insecurity due to lack of muscle control worse toward night,patient feels overpowered,1.0,1
head insecurity due to lack of muscle control worse toward night,prickling in wrist,1.0,1
head insecurity due to lack of muscle control worse toward night,pains to right shoulder,1.0,1
head insecurity due to lack of muscle control worse toward night,great weariness,1.0,1
head insecurity due to lack of muscle control worse toward night,heavy pain in back muscles,1.0,1
head insecurity due to lack of muscle control worse toward night,convulsive trembling of limbs,1.0,1
head insecurity due to lack of muscle control worse toward night,pressive pain in sacral region worse jars,1.0,1
head insecurity due to lack of muscle control worse toward night,unsteadiness of knee joints,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in thigh,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in forearm,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in thigh,1.0,1
head insecurity due to lack of muscle control worse toward night,weak limbs during repose,1.0,1
head insecurity due to lack of muscle control worse toward night,arms hang powerless as if paralyzed,1.0,1
head insecurity due to lack of muscle control worse toward night,puffy joints,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in elbow joints,1.0,1
head insecurity due to lack of muscle control worse toward night,excitement,1.0,1
head insecurity due to lack of muscle control worse toward night,rapid thought changes,1.0,1
head insecurity due to lack of muscle control worse toward night,raging delirium worse at night,1.0,1
head insecurity due to lack of muscle control worse toward night,sudden attack in acute articular rheumatism,1.0,1
head insecurity due to lack of muscle control worse toward night,coldness in feet especially toes,1.0,1
head insecurity due to lack of muscle control worse toward night,paralysis of wrist,1.0,1
head insecurity due to lack of muscle control worse toward night,strong pulse,1.0,1
head insecurity due to lack of muscle control worse toward night,numb tingling in arms,1.0,1
head insecurity due to lack of muscle control worse toward night,light aggravates,1.0,1
head insecurity due to lack of muscle control worse toward night,dry hot skin,1.0,1
head insecurity due to lack of muscle control worse toward night,inflamed joints,1.0,1
head insecurity due to lack of muscle control worse toward night,cries if touched,1.0,1
head insecurity due to lack of muscle control worse toward night,sensitiveness to cold air,1.0,1
head insecurity due to lack of muscle control worse toward night,predicts death day,1.0,1
head insecurity due to lack of muscle control worse toward night,burning pain on moving eyes,1.0,1
head insecurity due to lack of muscle control worse toward night,tingling upward on stepping,1.0,1
head insecurity due to lack of muscle control worse toward night,cutting pain in knees,1.0,1
head insecurity due to lack of muscle control worse toward night,toes go to sleep while walking,1.0,1
head insecurity due to lack of muscle control worse toward night,inflammation in cellular tissues,1.0,1
head insecurity due to lack of muscle control worse toward night,thirst,1.0,1
head insecurity due to lack of muscle control worse toward night,hot feet,1.0,1
head insecurity due to lack of muscle control worse toward night,bruised feeling,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in nape,1.0,1
head insecurity due to lack of muscle control worse toward night,formication up back,1.0,1
head insecurity due to lack of muscle control worse toward night,transient bone pains in metacarpal bones,1.0,1
head insecurity due to lack of muscle control worse toward night,back stiffness,1.0,1
head insecurity due to lack of muscle control worse toward night,shortened tendo achillis,1.0,1
head insecurity due to lack of muscle control worse toward night,pressing pain on moving eyes,1.0,1
head insecurity due to lack of muscle control worse toward night,shooting pain on moving eyes,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain from shoulder to fingers,1.0,1
head insecurity due to lack of muscle control worse toward night,numbness of affected parts,1.0,1
head insecurity due to lack of muscle control worse toward night,numb tingling in fingers,1.0,1
head insecurity due to lack of muscle control worse toward night,quieter morning with excessive sweat,1.0,1
head insecurity due to lack of muscle control worse toward night,constriction about head,1.0,1
head insecurity due to lack of muscle control worse toward night,hot palms,1.0,1
head insecurity due to lack of muscle control worse toward night,trembling with shooting pains,1.0,1
head insecurity due to lack of muscle control worse toward night,shooting pain in right elbow to wrist worse flexing fingers,1.0,1
head insecurity due to lack of muscle control worse toward night,cold sensation down spine,1.0,1
head insecurity due to lack of muscle control worse toward night,jerking pain down left back,1.0,1
head insecurity due to lack of muscle control worse toward night,numb tingling in hands,1.0,1
head insecurity due to lack of muscle control worse toward night,shooting pain in right upper arm,1.0,1
head insecurity due to lack of muscle control worse toward night,dull pain in neck muscles,1.0,1
head insecurity due to lack of muscle control worse toward night,anxiety about heart,1.0,1
head insecurity due to lack of muscle control worse toward night,hot right hip joint,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in scapulae,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing in tendinous expansions,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in left hip joint,1.0,1
head insecurity due to lack of muscle control worse toward night,convulsive contracting of limbs,1.0,1
head insecurity due to lack of muscle control worse toward night,bright red joints,1.0,1
head insecurity due to lack of muscle control worse toward night,coldness of extremities,1.0,1
head insecurity due to lack of muscle control worse toward night,tingling down left arm,1.0,1
head insecurity due to lack of muscle control worse toward night,numbness of arms,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in elbow joints,1.0,1
head insecurity due to lack of muscle control worse toward night,tensive pain in lumbar region worse stepping,1.0,1
head insecurity due to lack of muscle control worse toward night,bruised pain between shoulders,1.0,1
head insecurity due to lack of muscle control worse toward night,crawling in limbs,1.0,1
head insecurity due to lack of muscle control worse toward night,paralytic pain decin thumb,1.0,1
head insecurity due to lack of muscle control worse toward night,stinging in kidney region,1.0,1
head insecurity due to lack of muscle control worse toward night,cutting pain from spine to abdomen,1.0,1
head insecurity due to lack of muscle control worse toward night,coldness of ankles,1.0,1
head insecurity due to lack of muscle control worse toward night,throbbing knees,1.0,1
head insecurity due to lack of muscle control worse toward night,painful right hip joint especially to touch,1.0,1
head insecurity due to lack of muscle control worse toward night,painful knees,1.0,1
head insecurity due to lack of muscle control worse toward night,weariness,1.0,1
head insecurity due to lack of muscle control worse toward night,acuteness of senses,1.0,1
head insecurity due to lack of muscle control worse toward night,stiff legs after cold,1.0,1
head insecurity due to lack of muscle control worse toward night,heartburn down back,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pains in small of back worse by pressure,1.0,1
head insecurity due to lack of muscle control worse toward night,heavy limbs during repose,1.0,1
head insecurity due to lack of muscle control worse toward night,swollen right hip joint,1.0,1
head insecurity due to lack of muscle control worse toward night,great agitation about heart,1.0,1
head insecurity due to lack of muscle control worse toward night,hot hands,1.0,1
head insecurity due to lack of muscle control worse toward night,contracted pulse,1.0,1
head insecurity due to lack of muscle control worse toward night,painful shoulders feel sinking under weight,1.0,1
head insecurity due to lack of muscle control worse toward night,violent digging pains in chest sides worse inspiration,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in deep neck muscles,1.0,1
head insecurity due to lack of muscle control worse toward night,severe tearing in left humerus head,1.0,1
head insecurity due to lack of muscle control worse toward night,pain in right shoulder joint,1.0,1
head insecurity due to lack of muscle control worse toward night,pains to right ear,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain from shoulder to wrist,1.0,1
head insecurity due to lack of muscle control worse toward night,violent digging pains in back worse inspiration,1.0,1
head insecurity due to lack of muscle control worse toward night,exhaustion,1.0,1
head insecurity due to lack of muscle control worse toward night,full pulse,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in right upper arm,1.0,1
head insecurity due to lack of muscle control worse toward night,anxious lamentations,1.0,1
head insecurity due to lack of muscle control worse toward night,tearing pain in scapulae,1.0,1
head insecurity due to lack of muscle control worse toward night,helplessness with pain in femur head,1.0,1
head insecurity due to lack of muscle control worse toward night,sweaty palms,1.0,1
head insecurity due to lack of muscle control worse toward night,hurried thought changes,1.0,1
head insecurity due to lack of muscle control worse toward night,coldness of arms,1.0,1
head insecurity due to lack of muscle control worse toward night,heavy feeling,1.0,1
head insecurity due to lack of muscle control worse toward night,formication of scalp as if hair stands on end,1.0,1
head insecurity due to lack of muscle control worse toward night,numbness in small of back to legs,1.0,1
head insecurity due to lack of muscle control worse toward night,cramping pain in forearm,1.0,1
head insecurity due to lack of muscle control worse toward night,sensation of swollen parts,1.0,1
head insecurity due to lack of muscle control worse toward night,numbness in limbs after sitting,1.0,1
head insecurity due to lack of muscle control worse toward night,stitching pain in knee joints,1.0,1
head insecurity due to lack of muscle control worse toward night,acute rheumatic fevers,1.0,1
head insecurity due to lack of muscle control worse toward night,tensive pain in sacral region worse jars,1.0,1
head insecurity due to lack of muscle control worse toward night,formication of hands,1.0,1
head insecurity due to lack of muscle control worse toward night,cold sensation between scapulae,1.0,1
head insecurity due to lack of muscle control worse toward night,inflammation in serous tissues,1.0,1
head insecurity due to lack of muscle control worse toward night,creeping pain in fingers worse writing,1.0,1
head insecurity due to lack of muscle control worse toward night,paralytic stiffness of right upper arm,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in limb joints,1.0,1
head insecurity due to lack of muscle control worse toward night,painful limbs during repose,1.0,1
head insecurity due to lack of muscle control worse toward night,great thirst for cold water,1.0,1
head insecurity due to lack of muscle control worse toward night,cold fingers,1.0,1
head insecurity due to lack of muscle control worse toward night,numbness down left arm,1.0,1
head insecurity due to lack of muscle control worse toward night,transient bone pains in long bones,1.0,1
head insecurity due to lack of muscle control worse toward night,intolerable pains driving to delirium,1.0,1
head insecurity due to lack of muscle control worse toward night,feet go to sleep while walking,1.0,1
head insecurity due to lack of muscle control worse toward night,lost sensation in fingers,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pains in muscles of neck,1.0,1
head insecurity due to lack of muscle control worse toward night,rheumatism of facial muscles sensitive to touch,1.0,1
head insecurity due to lack of muscle control worse toward night,pressive pain in lumbar region worse stepping,1.0,1
head insecurity due to lack of muscle control worse toward night,cold sweat on toes,1.0,1
head insecurity due to lack of muscle control worse toward night,small pulse,1.0,1
head insecurity due to lack of muscle control worse toward night,variable humor,1.0,1
head insecurity due to lack of muscle control worse toward night,dull pain in right elbow to wrist worse flexing fingers,1.0,1
head insecurity due to lack of muscle control worse toward night,constriction about chest,1.0,1
head insecurity due to lack of muscle control worse toward night,formication down back,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in shoulder joints,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in wrists,1.0,1
head insecurity due to lack of muscle control worse toward night,intense pain down left arm,1.0,1
head insecurity due to lack of muscle control worse toward night,formication of arms,1.0,1
head insecurity due to lack of muscle control worse toward night,hot dry skin,1.0,1
head insecurity due to lack of muscle control worse toward night,tension about ankles,1.0,1
head insecurity due to lack of muscle control worse toward night,sore neck painful to touch,1.0,1
head insecurity due to lack of muscle control worse toward night,coldness of feet,1.0,1
head insecurity due to lack of muscle control worse toward night,drawing pain in left hip joint,1.0,1
head insecurity due to lack of muscle control worse toward night,great sadness,1.0,1
head insecurity due to lack of muscle control worse toward night,vexation with self,1.0,1
head insecurity due to lack of muscle control worse toward night,cold sweat on arms,1.0,1
head insecurity due to lack of muscle control worse toward night,bruised pain down back,1.0,1
head insecurity due to lack of muscle control worse toward night,fear of death,1.0,1
head insecurity due to lack of muscle control worse toward night,intermittent pulse,1.0,1
head insecurity due to lack of muscle control worse toward night,digging pain down left back,1.0,1
head insecurity due to lack of muscle control worse toward night,confused ideas,1.0,1
head insecurity due to lack of muscle control worse toward night,intolerable pain,1.0,1
head insecurity due to lack of muscle control worse toward night,little difficulties insurmountable,1.0,1
head insecurity due to lack of muscle control worse toward night,tired limbs during repose,1.0,1
head insecurity due to lack of muscle control worse toward night,great anxiety,1.0,1
head insecurity due to lack of muscle control worse toward night,ophthalmia from cold dry winds,1.0,1
head insecurity due to lack of muscle control worse toward night,cold sweat on soles,1.0,1
