### Cluster 58 — Symptoms (132)
Symptom,Frequency
bruised pain in thighs in morning,1
tension in right side of neck,1
stitches in left lumbar region,1
tension in ankle joints,1
rheumatic aching in shoulder,2
fingers half-closed,1
paralysis of face,1
thigh pain better by warmth of bed,1
tension in heel,1
muscles feel as if bound,1
backache in coccyx,1
sensation as if sharp crust struck spine,1
drawing pain to cheek,1
pain in loins as if bound by hands,1
tearing in thighs,1
griping clawing about elbow,2
head drawn to right side,1
cannot get into easy position,1
drawing in hands,1
cough affects back of sternum,1
jaw stiff,1
cutting stitches toward toes,2
paralysis of deltoid muscle,1
tendo achillis cramps waken from sleep,1
drawing sticking pain in finger joints,2
tearing pain along lumbar vertebrae,1
contractions of finger tendons,1
leg pain worse in open air,1
drawing in legs,1
tension in knee joints,1
back pain as if from lifting,1
drawing in thighs,1
pains in malar bones,1
tearing pains shift rapidly,2
tearing pains change place often,2
paralysis of vocal cords,1
rheumatism of face,1
drawing from knee to malleolus,1
sore bruised pain on side lain on at night,2
cramps in tendo achillis,1
leg pain better by warmth of bed,1
tensive pain in forearms,1
single stitches in shin bone,1
rheumatic conditions with paralytic tendency,2
jaw lame,1
great uneasiness of limbs,1
gouty pains in limbs,1
numbness of ankles,1
burning stitches in great toe,2
nightly burning tearing in shins,2
patient springs out of bed,1
knee pain worse when beginning to walk,1
great restlessness in evening,1
cramps in calves in morning in bed,1
pains in zygomatic arch,1
drawing pain in glenoid cavity of jaw,1
cramps in sole of right foot,1
gouty tearing in feet,2
paralysis of arms,1
darting pain in os coccyx,1
contractions of flexors,1
cough feels as if it tears chest,1
tearing pain to linea alba,1
drawing in shoulder blades,1
rheumatic contraction of tendons antidoted by guaiac,1
pinching crampy pain in buttocks,2
pressure in shoulders,1
pain in middle of spine on swallowing,1
tearing pain in back of neck,1
painful stiffness of back,2
abundance of warty growths,1
stitching pains in hip joints,1
contractions of limbs,1
pressing cramp-like pain in kidney region,2
tearing pains in joints,1
sticking pain inward,1
painful numbness of index finger,2
drawing in feet,1
cramps in tendo achillis at 2 a.m.,1
cough affects throat,1
rheumatism of lower jaw,1
painful stiffness of sacrum,2
tearing boring pain in lower leg with movement,2
dull pain in os coccyx,1
pain in left hip joint as if wrenched,1
drawing in forearms,1
ulcerative pain in heels,1
gouty deposits,1
severe tearing in tendons under right calf,2
pain in elbow joints,1
ankle pain better from walking,1
knee pain better by warmth of bed,1
pains in superior maxilla bones,1
pains in shoulder when dressing in morning,1
foot pain worse in open air,1
pain in occiput,1
prosopalgia,1
tearing in forearms,1
stiffness worse on rising from chair,1
knee pain worse in open air,1
tendons of knees seem too short,1
bruised pain in legs in morning,1
cannot move fingers by will power,1
stitches in teeth,1
stitches in sternum from lifting,1
cracking in knees on walking,1
paralysis of hands,1
pinching crampy pain in lumbar region,2
knee pain better from continual motion,1
pain in ankle when sitting,1
stiffness in hollow of knee,1
drawing pain to ear,1
swelling of small joints of foot,1
knee pain worse when sitting,1
foot pain better by warmth of bed,1
pain in throat,1
severe pressive pain in ball of great toe,2
elbow pain worse from warmth,1
stitches in sternum from deep breathing,1
gouty tearing in lower leg,2
thigh pain worse in open air,1
tensive pain in hollow of knee,1
tearing in teeth,1
bruised pain in os coccyx,1
aching in hip joints as if dislocated,2
indurations of finger tendons,1
weakness in single parts,1
shoulder pain preventing motion,1
painful numbness of thumb,2
gout in hands,1
tearing in shoulder blades,1
sprained pain in back,1

### Top Remedies
Remedy,Symptoms_Covered
causticum,132

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pinching crampy pain in buttocks,bruised pain in thighs in morning,1.0,1
pinching crampy pain in buttocks,tension in right side of neck,1.0,1
pinching crampy pain in buttocks,stitches in left lumbar region,1.0,1
pinching crampy pain in buttocks,tension in ankle joints,1.0,1
pinching crampy pain in buttocks,rheumatic aching in shoulder,1.0,1
pinching crampy pain in buttocks,fingers half-closed,1.0,1
pinching crampy pain in buttocks,paralysis of face,1.0,1
pinching crampy pain in buttocks,thigh pain better by warmth of bed,1.0,1
pinching crampy pain in buttocks,tension in heel,1.0,1
pinching crampy pain in buttocks,muscles feel as if bound,1.0,1
pinching crampy pain in buttocks,backache in coccyx,1.0,1
pinching crampy pain in buttocks,sensation as if sharp crust struck spine,1.0,1
pinching crampy pain in buttocks,drawing pain to cheek,1.0,1
pinching crampy pain in buttocks,pain in loins as if bound by hands,1.0,1
pinching crampy pain in buttocks,tearing in thighs,1.0,1
pinching crampy pain in buttocks,griping clawing about elbow,1.0,1
pinching crampy pain in buttocks,head drawn to right side,1.0,1
pinching crampy pain in buttocks,cannot get into easy position,1.0,1
pinching crampy pain in buttocks,drawing in hands,1.0,1
pinching crampy pain in buttocks,cough affects back of sternum,1.0,1
pinching crampy pain in buttocks,jaw stiff,1.0,1
pinching crampy pain in buttocks,cutting stitches toward toes,1.0,1
pinching crampy pain in buttocks,paralysis of deltoid muscle,1.0,1
pinching crampy pain in buttocks,tendo achillis cramps waken from sleep,1.0,1
pinching crampy pain in buttocks,drawing sticking pain in finger joints,1.0,1
