### Cluster 33 — Symptoms (87)
Symptom,Frequency
drawing pain in all joints,2
sticking pain in small of back,1
rheumatism of joints,1
sticking pain in knees,1
stiffness in feet,1
drawing pain in fingers,1
violent bruised pain in feet,1
swelling of hands,2
drawing pain in ankles,1
sticking pain in ankles,1
itching of skin,1
tearing pain in ankles,1
sticking pain in legs,1
violent bruised pain in back,1
sticking pain in arms,1
tearing pain in thighs,1
rheumatism of shoulder,1
sticking pain in hips,1
headache worse lying on back,1
tearing pain in nape of neck,1
pressive pain in small of back,1
tearing in wrist,1
chronic cases,2
gouty pain in feet,1
pain as from a sprain in shoulders,1
gouty diathesis,2
chronic articular rheumatism,1
suppressed eruptions,2
sticking in fingers,1
sticking pain in feet,1
pressive pain,1
pressure between shoulder blades,1
can hardly rise from a seat,1
stiffness in hands,1
violent bruised pain in sacrum,1
sticking pain in elbow,1
pressing pain in nape of neck,1
violent bruised pain in arms,1
stiffness in wrist,1
psoric manifestations,1
violent bruised pain in elbow,1
swelling in ankles,1
sticking in wrist,1
tearing pain in joints,1
sticking pain in thighs,1
stiffness in hips,1
violent bruised pain in hips,1
pain as from overlifting in small of back,1
sticking in hands,1
stiffness of shoulder,1
violent bruised pain in ankles,1
sticking in sacrum,1
headache worse in open air,1
tearing pain in hips,2
swelling of fingers,1
drawing pain in wrist,1
stiffness in fingers,1
drawing pain in arms,1
drawing pain in hands,2
rheumatism of muscles of neck,1
sticking pain in joints,1
sticking between shoulder blades,1
sticking pain in nape of neck,1
tearing pain in shoulder,1
tearing pain in elbow,1
gouty pain in wrist,1
swelling in knees,1
violent bruised pain in legs,1
psoric origin,1
drawing pain in feet,1
violent bruised pain in joints,1
sticking in shoulders,1
pressure in sacrum,1
stiffness in legs,2
drawing pain in nape of neck,1
boring pain,1
can only turn head to one side,1
burning of skin,1
stiffness in elbow,1
pain as from a sprain in nape of neck,1
gouty pain in hands,1
gouty pain in fingers,2
pain as from a sprain in shoulder,1
violent bruised pain in knees,1
drawing pain in legs,1
violent bruised pain in thighs,1
worse in open air,1

### Top Remedies
Remedy,Symptoms_Covered
sulphur,87
sulphuricum acidum,2
phosphoric acid,2
caulophyllum,1
sticta pulmonaria,1
thuja,1
calcarea carbonica,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
violent bruised pain in legs,sticking pain in small of back,1.0,1
violent bruised pain in legs,rheumatism of joints,1.0,1
violent bruised pain in legs,sticking pain in knees,1.0,1
violent bruised pain in legs,stiffness in feet,1.0,1
violent bruised pain in legs,drawing pain in fingers,1.0,1
violent bruised pain in legs,violent bruised pain in feet,1.0,1
violent bruised pain in legs,swelling of hands,1.0,1
violent bruised pain in legs,drawing pain in ankles,1.0,1
violent bruised pain in legs,sticking pain in ankles,1.0,1
violent bruised pain in legs,itching of skin,1.0,1
violent bruised pain in legs,tearing pain in ankles,1.0,1
violent bruised pain in legs,sticking pain in legs,1.0,1
violent bruised pain in legs,violent bruised pain in back,1.0,1
violent bruised pain in legs,sticking pain in arms,1.0,1
violent bruised pain in legs,tearing pain in thighs,1.0,1
violent bruised pain in legs,rheumatism of shoulder,1.0,1
violent bruised pain in legs,sticking pain in hips,1.0,1
violent bruised pain in legs,headache worse lying on back,1.0,1
violent bruised pain in legs,tearing pain in nape of neck,1.0,1
violent bruised pain in legs,pressive pain in small of back,1.0,1
violent bruised pain in legs,tearing in wrist,1.0,1
violent bruised pain in legs,chronic cases,1.0,1
violent bruised pain in legs,gouty pain in feet,1.0,1
violent bruised pain in legs,pain as from a sprain in shoulders,1.0,1
violent bruised pain in legs,gouty diathesis,1.0,1
violent bruised pain in legs,chronic articular rheumatism,1.0,1
violent bruised pain in legs,suppressed eruptions,1.0,1
violent bruised pain in legs,sticking in fingers,1.0,1
violent bruised pain in legs,sticking pain in feet,1.0,1
violent bruised pain in legs,drawing pain in all joints,1.0,1
violent bruised pain in legs,pressive pain,1.0,1
violent bruised pain in legs,pressure between shoulder blades,1.0,1
violent bruised pain in legs,can hardly rise from a seat,1.0,1
violent bruised pain in legs,stiffness in hands,1.0,1
violent bruised pain in legs,violent bruised pain in sacrum,1.0,1
violent bruised pain in legs,sticking pain in elbow,1.0,1
violent bruised pain in legs,pressing pain in nape of neck,1.0,1
violent bruised pain in legs,violent bruised pain in arms,1.0,1
violent bruised pain in legs,stiffness in wrist,1.0,1
violent bruised pain in legs,psoric manifestations,1.0,1
violent bruised pain in legs,violent bruised pain in elbow,1.0,1
violent bruised pain in legs,swelling in ankles,1.0,1
violent bruised pain in legs,sticking in wrist,1.0,1
violent bruised pain in legs,tearing pain in joints,1.0,1
violent bruised pain in legs,sticking pain in thighs,1.0,1
violent bruised pain in legs,stiffness in hips,1.0,1
violent bruised pain in legs,violent bruised pain in hips,1.0,1
violent bruised pain in legs,pain as from overlifting in small of back,1.0,1
violent bruised pain in legs,sticking in hands,1.0,1
violent bruised pain in legs,stiffness of shoulder,1.0,1
violent bruised pain in legs,violent bruised pain in ankles,1.0,1
violent bruised pain in legs,sticking in sacrum,1.0,1
violent bruised pain in legs,headache worse in open air,1.0,1
violent bruised pain in legs,tearing pain in hips,1.0,1
violent bruised pain in legs,swelling of fingers,1.0,1
violent bruised pain in legs,drawing pain in wrist,1.0,1
violent bruised pain in legs,stiffness in fingers,1.0,1
violent bruised pain in legs,drawing pain in arms,1.0,1
violent bruised pain in legs,drawing pain in hands,1.0,1
violent bruised pain in legs,rheumatism of muscles of neck,1.0,1
violent bruised pain in legs,sticking pain in joints,1.0,1
violent bruised pain in legs,sticking between shoulder blades,1.0,1
violent bruised pain in legs,sticking pain in nape of neck,1.0,1
violent bruised pain in legs,tearing pain in shoulder,1.0,1
violent bruised pain in legs,tearing pain in elbow,1.0,1
violent bruised pain in legs,gouty pain in wrist,1.0,1
violent bruised pain in legs,swelling in knees,1.0,1
violent bruised pain in legs,psoric origin,1.0,1
violent bruised pain in legs,drawing pain in feet,1.0,1
violent bruised pain in legs,violent bruised pain in joints,1.0,1
violent bruised pain in legs,sticking in shoulders,1.0,1
violent bruised pain in legs,pressure in sacrum,1.0,1
violent bruised pain in legs,stiffness in legs,1.0,1
violent bruised pain in legs,drawing pain in nape of neck,1.0,1
violent bruised pain in legs,boring pain,1.0,1
violent bruised pain in legs,can only turn head to one side,1.0,1
violent bruised pain in legs,burning of skin,1.0,1
violent bruised pain in legs,stiffness in elbow,1.0,1
violent bruised pain in legs,pain as from a sprain in nape of neck,1.0,1
violent bruised pain in legs,gouty pain in hands,1.0,1
violent bruised pain in legs,gouty pain in fingers,1.0,1
violent bruised pain in legs,pain as from a sprain in shoulder,1.0,1
violent bruised pain in legs,violent bruised pain in knees,1.0,1
violent bruised pain in legs,drawing pain in legs,1.0,1
violent bruised pain in legs,violent bruised pain in thighs,1.0,1
violent bruised pain in legs,worse in open air,1.0,1
psoric origin,sticking pain in small of back,1.0,1
psoric origin,rheumatism of joints,1.0,1
psoric origin,sticking pain in knees,1.0,1
psoric origin,stiffness in feet,1.0,1
psoric origin,drawing pain in fingers,1.0,1
psoric origin,violent bruised pain in feet,1.0,1
psoric origin,swelling of hands,1.0,1
psoric origin,drawing pain in ankles,1.0,1
psoric origin,sticking pain in ankles,1.0,1
psoric origin,itching of skin,1.0,1
psoric origin,tearing pain in ankles,1.0,1
psoric origin,sticking pain in legs,1.0,1
psoric origin,violent bruised pain in back,1.0,1
psoric origin,sticking pain in arms,1.0,1
psoric origin,tearing pain in thighs,1.0,1
psoric origin,rheumatism of shoulder,1.0,1
psoric origin,sticking pain in hips,1.0,1
psoric origin,headache worse lying on back,1.0,1
psoric origin,tearing pain in nape of neck,1.0,1
psoric origin,pressive pain in small of back,1.0,1
psoric origin,tearing in wrist,1.0,1
psoric origin,chronic cases,1.0,1
psoric origin,gouty pain in feet,1.0,1
psoric origin,pain as from a sprain in shoulders,1.0,1
psoric origin,gouty diathesis,1.0,1
psoric origin,chronic articular rheumatism,1.0,1
psoric origin,suppressed eruptions,1.0,1
psoric origin,sticking in fingers,1.0,1
psoric origin,sticking pain in feet,1.0,1
psoric origin,drawing pain in all joints,1.0,1
psoric origin,pressive pain,1.0,1
psoric origin,pressure between shoulder blades,1.0,1
psoric origin,can hardly rise from a seat,1.0,1
psoric origin,stiffness in hands,1.0,1
psoric origin,violent bruised pain in sacrum,1.0,1
psoric origin,sticking pain in elbow,1.0,1
psoric origin,pressing pain in nape of neck,1.0,1
psoric origin,violent bruised pain in arms,1.0,1
psoric origin,stiffness in wrist,1.0,1
psoric origin,psoric manifestations,1.0,1
psoric origin,violent bruised pain in elbow,1.0,1
psoric origin,swelling in ankles,1.0,1
psoric origin,sticking in wrist,1.0,1
psoric origin,tearing pain in joints,1.0,1
psoric origin,sticking pain in thighs,1.0,1
psoric origin,stiffness in hips,1.0,1
psoric origin,violent bruised pain in hips,1.0,1
psoric origin,pain as from overlifting in small of back,1.0,1
psoric origin,sticking in hands,1.0,1
psoric origin,stiffness of shoulder,1.0,1
psoric origin,violent bruised pain in ankles,1.0,1
psoric origin,sticking in sacrum,1.0,1
psoric origin,headache worse in open air,1.0,1
psoric origin,tearing pain in hips,1.0,1
psoric origin,swelling of fingers,1.0,1
psoric origin,drawing pain in wrist,1.0,1
psoric origin,stiffness in fingers,1.0,1
psoric origin,drawing pain in arms,1.0,1
psoric origin,drawing pain in hands,1.0,1
psoric origin,rheumatism of muscles of neck,1.0,1
psoric origin,sticking pain in joints,1.0,1
psoric origin,sticking between shoulder blades,1.0,1
psoric origin,sticking pain in nape of neck,1.0,1
psoric origin,tearing pain in shoulder,1.0,1
psoric origin,tearing pain in elbow,1.0,1
psoric origin,gouty pain in wrist,1.0,1
psoric origin,swelling in knees,1.0,1
psoric origin,violent bruised pain in legs,1.0,1
psoric origin,drawing pain in feet,1.0,1
psoric origin,violent bruised pain in joints,1.0,1
psoric origin,sticking in shoulders,1.0,1
psoric origin,pressure in sacrum,1.0,1
psoric origin,stiffness in legs,1.0,1
psoric origin,drawing pain in nape of neck,1.0,1
psoric origin,boring pain,1.0,1
psoric origin,can only turn head to one side,1.0,1
psoric origin,burning of skin,1.0,1
psoric origin,stiffness in elbow,1.0,1
psoric origin,pain as from a sprain in nape of neck,1.0,1
psoric origin,gouty pain in hands,1.0,1
psoric origin,gouty pain in fingers,1.0,1
psoric origin,pain as from a sprain in shoulder,1.0,1
psoric origin,violent bruised pain in knees,1.0,1
psoric origin,drawing pain in legs,1.0,1
psoric origin,violent bruised pain in thighs,1.0,1
psoric origin,worse in open air,1.0,1
rheumatism of shoulder,sticking pain in small of back,1.0,1
rheumatism of shoulder,rheumatism of joints,1.0,1
rheumatism of shoulder,sticking pain in knees,1.0,1
rheumatism of shoulder,stiffness in feet,1.0,1
rheumatism of shoulder,drawing pain in fingers,1.0,1
rheumatism of shoulder,violent bruised pain in feet,1.0,1
rheumatism of shoulder,swelling of hands,1.0,1
rheumatism of shoulder,drawing pain in ankles,1.0,1
rheumatism of shoulder,sticking pain in ankles,1.0,1
rheumatism of shoulder,itching of skin,1.0,1
rheumatism of shoulder,tearing pain in ankles,1.0,1
rheumatism of shoulder,sticking pain in legs,1.0,1
rheumatism of shoulder,violent bruised pain in back,1.0,1
rheumatism of shoulder,sticking pain in arms,1.0,1
rheumatism of shoulder,tearing pain in thighs,1.0,1
rheumatism of shoulder,sticking pain in hips,1.0,1
rheumatism of shoulder,headache worse lying on back,1.0,1
rheumatism of shoulder,tearing pain in nape of neck,1.0,1
rheumatism of shoulder,pressive pain in small of back,1.0,1
rheumatism of shoulder,tearing in wrist,1.0,1
rheumatism of shoulder,chronic cases,1.0,1
rheumatism of shoulder,gouty pain in feet,1.0,1
rheumatism of shoulder,pain as from a sprain in shoulders,1.0,1
rheumatism of shoulder,gouty diathesis,1.0,1
rheumatism of shoulder,chronic articular rheumatism,1.0,1
rheumatism of shoulder,suppressed eruptions,1.0,1
rheumatism of shoulder,sticking in fingers,1.0,1
rheumatism of shoulder,sticking pain in feet,1.0,1
rheumatism of shoulder,drawing pain in all joints,1.0,1
rheumatism of shoulder,pressive pain,1.0,1
rheumatism of shoulder,pressure between shoulder blades,1.0,1
rheumatism of shoulder,can hardly rise from a seat,1.0,1
rheumatism of shoulder,stiffness in hands,1.0,1
rheumatism of shoulder,violent bruised pain in sacrum,1.0,1
rheumatism of shoulder,sticking pain in elbow,1.0,1
rheumatism of shoulder,pressing pain in nape of neck,1.0,1
rheumatism of shoulder,violent bruised pain in arms,1.0,1
rheumatism of shoulder,stiffness in wrist,1.0,1
rheumatism of shoulder,psoric manifestations,1.0,1
rheumatism of shoulder,violent bruised pain in elbow,1.0,1
rheumatism of shoulder,swelling in ankles,1.0,1
rheumatism of shoulder,sticking in wrist,1.0,1
rheumatism of shoulder,tearing pain in joints,1.0,1
rheumatism of shoulder,sticking pain in thighs,1.0,1
rheumatism of shoulder,stiffness in hips,1.0,1
rheumatism of shoulder,violent bruised pain in hips,1.0,1
rheumatism of shoulder,pain as from overlifting in small of back,1.0,1
rheumatism of shoulder,sticking in hands,1.0,1
rheumatism of shoulder,stiffness of shoulder,1.0,1
rheumatism of shoulder,violent bruised pain in ankles,1.0,1
rheumatism of shoulder,sticking in sacrum,1.0,1
rheumatism of shoulder,headache worse in open air,1.0,1
rheumatism of shoulder,tearing pain in hips,1.0,1
rheumatism of shoulder,swelling of fingers,1.0,1
rheumatism of shoulder,drawing pain in wrist,1.0,1
rheumatism of shoulder,stiffness in fingers,1.0,1
rheumatism of shoulder,drawing pain in arms,1.0,1
rheumatism of shoulder,drawing pain in hands,1.0,1
rheumatism of shoulder,rheumatism of muscles of neck,1.0,1
rheumatism of shoulder,sticking pain in joints,1.0,1
rheumatism of shoulder,sticking between shoulder blades,1.0,1
rheumatism of shoulder,sticking pain in nape of neck,1.0,1
rheumatism of shoulder,tearing pain in shoulder,1.0,1
rheumatism of shoulder,tearing pain in elbow,1.0,1
rheumatism of shoulder,gouty pain in wrist,1.0,1
rheumatism of shoulder,swelling in knees,1.0,1
rheumatism of shoulder,violent bruised pain in legs,1.0,1
rheumatism of shoulder,psoric origin,1.0,1
rheumatism of shoulder,drawing pain in feet,1.0,1
