### Cluster 17 — Symptoms (127)
Symptom,Frequency
fine sensitive pressure to fingers,2
heat and chilliness mingled,1
tensive stiffness of cervical muscles,2
contractive sensation in spine,1
unendurable toothache,1
cannot bear slightest motion,1
leg stitches better from motion,1
toothache worse at night,1
pains worse when lying on opposite side,1
cannot hold anything firmly,1
other cheek pale,1
tearing pains in back,1
cracking of lower limb joints,1
heat,1
backache worse when walking,1
patient is irritable,1
pain in heart as if weighed down,1
swelling around malleoli,1
pain in knees better by drawing feet up,1
one cheek red,1
finger joints swollen,2
faintness about heart,1
cold perspiration in palms,1
bruised sensation in loins,1
patient is peevish,1
restlessness of legs at night,1
fretful,1
toothache worse from cold water,1
feet paralysis worse at night,1
right arm asleep on waking,1
arthritic ophthalmia early in attack,1
adults sensitive to pain,1
lameness at night,1
backache worse when stooping,1
stitches from knees to ankles,1
arms go to sleep,1
patient whines continually,1
bruised pain in joints,1
indescribable pain in thighs on rising,1
thorax feels beaten,1
one cheek bright red,1
drawing stinging in back,2
numbness in arm,1
tearing pain in whole leg,1
feet pain requires lying down,1
arms are numb,1
redness around malleoli,1
prostration while pain lasts,1
bruised pain in thighs,1
great weakness while pain lasts,1
patient unruly,1
stitches in right arm to shoulder,1
tearing pain in flexors of forearm after waking,1
faintness,1
finger joints red,1
adults whine and complain,1
stiffness of arm as if going to sleep,1
violent rheumatic pains at night,2
excessive impressionability,1
hot sweat especially while sleeping,1
rheumatic toothache,1
unendurable pains in loins at night,1
sprained pain in index finger,1
limb pains worse at night,1
drawing tearing pains in limbs,2
stitches to finger tips,1
drawing in scapulae,1
paralytic weakness,3
arm stiffness on grasping anything,1
sprained pain in hip joint on walking,1
feet go to sleep when stretched out,1
children soothed by petting,1
very restless sleep,1
tearing pain down the leg,1
pains become intolerable,1
trembling of legs when going to sleep,1
fine sensitive pressure in periosteum of arm,2
electric-like jerking stitches in cervical region,3
easily excited,1
tearing pains in throat,1
joints bruised,1
pain in calves better by drawing feet up,1
cramp-like tension of muscles,2
tearing pain at night,1
irritability of nervous system,1
pain seems unendurable,1
electric-like jerking stitches in left shoulder,3
feet seem paralyzed,1
violent drawing tearing to sole of foot,3
stitches in nates,1
stiffness in loins when sitting,1
patient wild,1
cannot find easy position,1
paralytic-like pain in arms,1
cracking in knees,1
profuse hot sweat,2
toothache one-sided,1
restlessness of feet at night,1
paralytic pain from elbows to fingers,1
fine sensitive pressure in articular ligaments,2
drawing tearing from knee to ankle,2
crawling in calves,1
lassitude in limbs,1
hip pain after sitting in evening,1
numbness at night,1
back pains worse at night,1
fine sensitive pressure in periosteum of shoulder,2
joints sore,1
pains drive out of bed,1
stitches in thighs,1
unendurable pains in hip joint at night,1
tension in knees,1
pain in periosteum,1
toothache worse from warmth of bed,1
numbness of toes,1
heaviness of calves,1
bruised sensation in back muscles,1
sprained pain in thumb,1
severe stitches in forearm along bones,2
crawling tearing in bones of arm to fingers,2
paralytic weakness of thighs,2
tearing pains in clavicle region,1
violent drawing tearing from left ischium to os calcis,3
feet pain worse from motion,1
suits nervous excitable women and children,2
indescribable pain in thighs on stretching leg,1
pains compel walking,1

### Top Remedies
Remedy,Symptoms_Covered
chamomilla,127
agnus castus,1
veratrum album,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
patient wild,fine sensitive pressure to fingers,1.0,1
patient wild,heat and chilliness mingled,1.0,1
patient wild,tensive stiffness of cervical muscles,1.0,1
patient wild,contractive sensation in spine,1.0,1
patient wild,unendurable toothache,1.0,1
patient wild,cannot bear slightest motion,1.0,1
patient wild,leg stitches better from motion,1.0,1
patient wild,toothache worse at night,1.0,1
patient wild,pains worse when lying on opposite side,1.0,1
patient wild,cannot hold anything firmly,1.0,1
patient wild,other cheek pale,1.0,1
patient wild,tearing pains in back,1.0,1
patient wild,cracking of lower limb joints,1.0,1
patient wild,heat,1.0,1
patient wild,backache worse when walking,1.0,1
patient wild,patient is irritable,1.0,1
patient wild,pain in heart as if weighed down,1.0,1
patient wild,swelling around malleoli,1.0,1
patient wild,pain in knees better by drawing feet up,1.0,1
patient wild,one cheek red,1.0,1
patient wild,finger joints swollen,1.0,1
patient wild,faintness about heart,1.0,1
patient wild,cold perspiration in palms,1.0,1
patient wild,bruised sensation in loins,1.0,1
patient wild,patient is peevish,1.0,1
patient wild,restlessness of legs at night,1.0,1
patient wild,fretful,1.0,1
patient wild,toothache worse from cold water,1.0,1
patient wild,feet paralysis worse at night,1.0,1
patient wild,right arm asleep on waking,1.0,1
patient wild,arthritic ophthalmia early in attack,1.0,1
patient wild,adults sensitive to pain,1.0,1
patient wild,lameness at night,1.0,1
patient wild,backache worse when stooping,1.0,1
patient wild,stitches from knees to ankles,1.0,1
patient wild,arms go to sleep,1.0,1
patient wild,patient whines continually,1.0,1
patient wild,bruised pain in joints,1.0,1
patient wild,indescribable pain in thighs on rising,1.0,1
patient wild,thorax feels beaten,1.0,1
patient wild,one cheek bright red,1.0,1
patient wild,drawing stinging in back,1.0,1
patient wild,numbness in arm,1.0,1
patient wild,tearing pain in whole leg,1.0,1
patient wild,feet pain requires lying down,1.0,1
patient wild,arms are numb,1.0,1
patient wild,redness around malleoli,1.0,1
patient wild,prostration while pain lasts,1.0,1
patient wild,bruised pain in thighs,1.0,1
patient wild,great weakness while pain lasts,1.0,1
patient wild,patient unruly,1.0,1
patient wild,stitches in right arm to shoulder,1.0,1
patient wild,tearing pain in flexors of forearm after waking,1.0,1
patient wild,faintness,1.0,1
patient wild,finger joints red,1.0,1
patient wild,adults whine and complain,1.0,1
patient wild,stiffness of arm as if going to sleep,1.0,1
patient wild,violent rheumatic pains at night,1.0,1
patient wild,excessive impressionability,1.0,1
patient wild,hot sweat especially while sleeping,1.0,1
patient wild,rheumatic toothache,1.0,1
patient wild,unendurable pains in loins at night,1.0,1
patient wild,sprained pain in index finger,1.0,1
patient wild,limb pains worse at night,1.0,1
patient wild,drawing tearing pains in limbs,1.0,1
patient wild,stitches to finger tips,1.0,1
patient wild,drawing in scapulae,1.0,1
patient wild,paralytic weakness,1.0,1
patient wild,arm stiffness on grasping anything,1.0,1
patient wild,sprained pain in hip joint on walking,1.0,1
patient wild,feet go to sleep when stretched out,1.0,1
patient wild,children soothed by petting,1.0,1
patient wild,very restless sleep,1.0,1
patient wild,tearing pain down the leg,1.0,1
patient wild,pains become intolerable,1.0,1
patient wild,trembling of legs when going to sleep,1.0,1
patient wild,fine sensitive pressure in periosteum of arm,1.0,1
patient wild,electric-like jerking stitches in cervical region,1.0,1
patient wild,easily excited,1.0,1
patient wild,tearing pains in throat,1.0,1
patient wild,joints bruised,1.0,1
patient wild,pain in calves better by drawing feet up,1.0,1
patient wild,cramp-like tension of muscles,1.0,1
patient wild,tearing pain at night,1.0,1
patient wild,irritability of nervous system,1.0,1
patient wild,pain seems unendurable,1.0,1
patient wild,electric-like jerking stitches in left shoulder,1.0,1
patient wild,feet seem paralyzed,1.0,1
patient wild,violent drawing tearing to sole of foot,1.0,1
patient wild,stitches in nates,1.0,1
patient wild,stiffness in loins when sitting,1.0,1
