### Cluster 21 — Symptoms (83)
Symptom,Frequency
paralytic drawing in arms to fingers,1
pain extending to thighs,1
has to walk crooked,1
pains in small of back after exposure to wet,1
tearing pains along sciatic nerve to calf,1
burning pressure in spine,1
hot flashes,1
right knee swollen,1
arthritic pains,1
pains in thighs,1
joints of wrists stiff,1
gouty pains accompanied by vomiting,1
right knee red,1
hands sweat very profusely,1
great weakness of joints,1
great sensitiveness to all impressions,1
puffy flabby make-up,1
right knee painful,1
cracking in ankle joints,1
gouty pains boring in character,1
constant dull heavy pain in sacrum,1
indicated in women at climacteric period,1
painful stitches in back if makes a misstep,1
weakness especially of the knees,1
stitches with coldness of feet,1
arthritic affections of joints,1
severe tearing pains in left thigh,1
pains extending from other parts to back,1
sticking drawing pains with coldness of feet,1
stitches in joints of arm,1
pains in small of back after exposure to cold weather,1
aching in calves,1
pain suddenly strikes when stooping,1
sticking drawing pains with coldness of knees,1
crick in back of long standing,1
congestion of blood to chest,1
pains extending to knees,1
nervous headache from abdominal plethora,1
faint sinking emptiness at pit of stomach,1
burning pressure extending across back,1
grating on motion,1
stitches in right shoulder blade,1
tearing pains in toes,2
tearing in arms to fingers,1
stiffness of legs to hip joint,1
sudden stitch in back while lifting,1
congestive headache of a rheumatic character,1
pressing dragging pain over hips,1
stitches in back when coughing,1
tension in tendo achillis,1
worse on flexion,1
pains in hips,1
stitches with coldness of knees,1
soreness in sacral region,1
gouty pains causing patient to scream,1
pressing dragging pain over sacrum,1
constant pain down back,1
catching when stretching,1
throbbing in small of back,1
pain extending to legs,1
aching extending to knees,1
pain after exertion,1
severe pain in back across hips,1
tensive pain in metacarpal joints of fingers,1
weakness of joints,1
yellow or dirty brown blotched skin,1
right knee stiff,1
sense of bearing down in abdomen,1
aching deep as if in bones,1
gouty headache from abdominal plethora,1
pain in small of back with weakness,1
brown spots on chest,1
acute attack of rheumatism in right knee,1
constant pain between shoulders,1
pain as from dislocation in shoulder joint,1
sense of bearing down in pelvis,1
patients fear joints will not bear exertion,1
pain as of a blow of a hammer,1
bruised pain in right hip joint,1
joints of elbows stiff,1
right knee semiflexed,1
pressing in right shoulder blade,1
pain in legs as if beaten,1

### Top Remedies
Remedy,Symptoms_Covered
sepia,83
carbo vegetabilis,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
arthritic pains,paralytic drawing in arms to fingers,1.0,1
arthritic pains,pain extending to thighs,1.0,1
arthritic pains,has to walk crooked,1.0,1
arthritic pains,pains in small of back after exposure to wet,1.0,1
arthritic pains,tearing pains along sciatic nerve to calf,1.0,1
arthritic pains,burning pressure in spine,1.0,1
arthritic pains,hot flashes,1.0,1
arthritic pains,right knee swollen,1.0,1
arthritic pains,pains in thighs,1.0,1
arthritic pains,joints of wrists stiff,1.0,1
arthritic pains,gouty pains accompanied by vomiting,1.0,1
arthritic pains,right knee red,1.0,1
arthritic pains,hands sweat very profusely,1.0,1
arthritic pains,great weakness of joints,1.0,1
arthritic pains,great sensitiveness to all impressions,1.0,1
arthritic pains,puffy flabby make-up,1.0,1
arthritic pains,right knee painful,1.0,1
arthritic pains,cracking in ankle joints,1.0,1
arthritic pains,gouty pains boring in character,1.0,1
arthritic pains,constant dull heavy pain in sacrum,1.0,1
arthritic pains,indicated in women at climacteric period,1.0,1
arthritic pains,painful stitches in back if makes a misstep,1.0,1
arthritic pains,weakness especially of the knees,1.0,1
arthritic pains,stitches with coldness of feet,1.0,1
arthritic pains,arthritic affections of joints,1.0,1
arthritic pains,severe tearing pains in left thigh,1.0,1
arthritic pains,pains extending from other parts to back,1.0,1
arthritic pains,sticking drawing pains with coldness of feet,1.0,1
arthritic pains,stitches in joints of arm,1.0,1
arthritic pains,pains in small of back after exposure to cold weather,1.0,1
arthritic pains,aching in calves,1.0,1
arthritic pains,pain suddenly strikes when stooping,1.0,1
arthritic pains,sticking drawing pains with coldness of knees,1.0,1
arthritic pains,crick in back of long standing,1.0,1
arthritic pains,congestion of blood to chest,1.0,1
arthritic pains,pains extending to knees,1.0,1
arthritic pains,nervous headache from abdominal plethora,1.0,1
arthritic pains,faint sinking emptiness at pit of stomach,1.0,1
arthritic pains,burning pressure extending across back,1.0,1
arthritic pains,grating on motion,1.0,1
arthritic pains,stitches in right shoulder blade,1.0,1
arthritic pains,tearing pains in toes,1.0,1
arthritic pains,tearing in arms to fingers,1.0,1
arthritic pains,stiffness of legs to hip joint,1.0,1
arthritic pains,sudden stitch in back while lifting,1.0,1
arthritic pains,congestive headache of a rheumatic character,1.0,1
arthritic pains,pressing dragging pain over hips,1.0,1
arthritic pains,stitches in back when coughing,1.0,1
arthritic pains,tension in tendo achillis,1.0,1
arthritic pains,worse on flexion,1.0,1
arthritic pains,pains in hips,1.0,1
arthritic pains,stitches with coldness of knees,1.0,1
arthritic pains,soreness in sacral region,1.0,1
arthritic pains,gouty pains causing patient to scream,1.0,1
arthritic pains,pressing dragging pain over sacrum,1.0,1
arthritic pains,constant pain down back,1.0,1
arthritic pains,catching when stretching,1.0,1
arthritic pains,throbbing in small of back,1.0,1
arthritic pains,pain extending to legs,1.0,1
arthritic pains,aching extending to knees,1.0,1
arthritic pains,pain after exertion,1.0,1
arthritic pains,severe pain in back across hips,1.0,1
arthritic pains,tensive pain in metacarpal joints of fingers,1.0,1
arthritic pains,weakness of joints,1.0,1
arthritic pains,yellow or dirty brown blotched skin,1.0,1
arthritic pains,right knee stiff,1.0,1
arthritic pains,sense of bearing down in abdomen,1.0,1
arthritic pains,aching deep as if in bones,1.0,1
arthritic pains,gouty headache from abdominal plethora,1.0,1
arthritic pains,pain in small of back with weakness,1.0,1
arthritic pains,brown spots on chest,1.0,1
arthritic pains,acute attack of rheumatism in right knee,1.0,1
arthritic pains,constant pain between shoulders,1.0,1
arthritic pains,pain as from dislocation in shoulder joint,1.0,1
arthritic pains,sense of bearing down in pelvis,1.0,1
arthritic pains,patients fear joints will not bear exertion,1.0,1
arthritic pains,pain as of a blow of a hammer,1.0,1
arthritic pains,bruised pain in right hip joint,1.0,1
arthritic pains,joints of elbows stiff,1.0,1
arthritic pains,right knee semiflexed,1.0,1
arthritic pains,pressing in right shoulder blade,1.0,1
arthritic pains,pain in legs as if beaten,1.0,1
gouty headache from abdominal plethora,paralytic drawing in arms to fingers,1.0,1
gouty headache from abdominal plethora,pain extending to thighs,1.0,1
gouty headache from abdominal plethora,has to walk crooked,1.0,1
gouty headache from abdominal plethora,pains in small of back after exposure to wet,1.0,1
gouty headache from abdominal plethora,tearing pains along sciatic nerve to calf,1.0,1
gouty headache from abdominal plethora,burning pressure in spine,1.0,1
gouty headache from abdominal plethora,hot flashes,1.0,1
gouty headache from abdominal plethora,right knee swollen,1.0,1
gouty headache from abdominal plethora,arthritic pains,1.0,1
gouty headache from abdominal plethora,pains in thighs,1.0,1
gouty headache from abdominal plethora,joints of wrists stiff,1.0,1
gouty headache from abdominal plethora,gouty pains accompanied by vomiting,1.0,1
gouty headache from abdominal plethora,right knee red,1.0,1
gouty headache from abdominal plethora,hands sweat very profusely,1.0,1
gouty headache from abdominal plethora,great weakness of joints,1.0,1
gouty headache from abdominal plethora,great sensitiveness to all impressions,1.0,1
gouty headache from abdominal plethora,puffy flabby make-up,1.0,1
gouty headache from abdominal plethora,right knee painful,1.0,1
gouty headache from abdominal plethora,cracking in ankle joints,1.0,1
gouty headache from abdominal plethora,gouty pains boring in character,1.0,1
gouty headache from abdominal plethora,constant dull heavy pain in sacrum,1.0,1
gouty headache from abdominal plethora,indicated in women at climacteric period,1.0,1
gouty headache from abdominal plethora,painful stitches in back if makes a misstep,1.0,1
gouty headache from abdominal plethora,weakness especially of the knees,1.0,1
gouty headache from abdominal plethora,stitches with coldness of feet,1.0,1
gouty headache from abdominal plethora,arthritic affections of joints,1.0,1
gouty headache from abdominal plethora,severe tearing pains in left thigh,1.0,1
gouty headache from abdominal plethora,pains extending from other parts to back,1.0,1
gouty headache from abdominal plethora,sticking drawing pains with coldness of feet,1.0,1
gouty headache from abdominal plethora,stitches in joints of arm,1.0,1
gouty headache from abdominal plethora,pains in small of back after exposure to cold weather,1.0,1
gouty headache from abdominal plethora,aching in calves,1.0,1
gouty headache from abdominal plethora,pain suddenly strikes when stooping,1.0,1
gouty headache from abdominal plethora,sticking drawing pains with coldness of knees,1.0,1
gouty headache from abdominal plethora,crick in back of long standing,1.0,1
gouty headache from abdominal plethora,congestion of blood to chest,1.0,1
gouty headache from abdominal plethora,pains extending to knees,1.0,1
gouty headache from abdominal plethora,nervous headache from abdominal plethora,1.0,1
gouty headache from abdominal plethora,faint sinking emptiness at pit of stomach,1.0,1
gouty headache from abdominal plethora,burning pressure extending across back,1.0,1
gouty headache from abdominal plethora,grating on motion,1.0,1
gouty headache from abdominal plethora,stitches in right shoulder blade,1.0,1
gouty headache from abdominal plethora,tearing pains in toes,1.0,1
gouty headache from abdominal plethora,tearing in arms to fingers,1.0,1
gouty headache from abdominal plethora,stiffness of legs to hip joint,1.0,1
gouty headache from abdominal plethora,sudden stitch in back while lifting,1.0,1
gouty headache from abdominal plethora,congestive headache of a rheumatic character,1.0,1
gouty headache from abdominal plethora,pressing dragging pain over hips,1.0,1
gouty headache from abdominal plethora,stitches in back when coughing,1.0,1
gouty headache from abdominal plethora,tension in tendo achillis,1.0,1
gouty headache from abdominal plethora,worse on flexion,1.0,1
gouty headache from abdominal plethora,pains in hips,1.0,1
gouty headache from abdominal plethora,stitches with coldness of knees,1.0,1
gouty headache from abdominal plethora,soreness in sacral region,1.0,1
gouty headache from abdominal plethora,gouty pains causing patient to scream,1.0,1
gouty headache from abdominal plethora,pressing dragging pain over sacrum,1.0,1
gouty headache from abdominal plethora,constant pain down back,1.0,1
gouty headache from abdominal plethora,catching when stretching,1.0,1
gouty headache from abdominal plethora,throbbing in small of back,1.0,1
gouty headache from abdominal plethora,pain extending to legs,1.0,1
gouty headache from abdominal plethora,aching extending to knees,1.0,1
gouty headache from abdominal plethora,pain after exertion,1.0,1
gouty headache from abdominal plethora,severe pain in back across hips,1.0,1
gouty headache from abdominal plethora,tensive pain in metacarpal joints of fingers,1.0,1
gouty headache from abdominal plethora,weakness of joints,1.0,1
gouty headache from abdominal plethora,yellow or dirty brown blotched skin,1.0,1
gouty headache from abdominal plethora,right knee stiff,1.0,1
gouty headache from abdominal plethora,sense of bearing down in abdomen,1.0,1
gouty headache from abdominal plethora,aching deep as if in bones,1.0,1
gouty headache from abdominal plethora,pain in small of back with weakness,1.0,1
