### Cluster 32 — Symptoms (116)
Symptom,Frequency
shooting pains between shoulders,1
violent shooting deep in spine,1
pressive pain in legs especially ankles,1
heavy legs like lead,1
splinter-like pain in right forearm,1
numbness in forearms,1
rheumatic pain in right deltoid worse moving arm backward,1
from dissipation causing spinal cord irritation,1
stiff tendo achillis,1
tearing between thumb and index,1
painful spine,1
ulcerative limb pains preventing sleep,1
beaten sensation after exercise,1
violent pain in left hip under gluteal muscles,1
stiffness between shoulder blades,1
delirium tremens,1
splinter-like pain in dorso-lumbar region,1
coldness in lumbar vertebrae to legs,1
sudden violent stitch in sacrum while walking,1
leg pain better motion,1
vertigo with reeling in open air,1
spine too weak to support when stooping,1
frostbitten foot pain,1
frostbitten foot inflammation,1
lump sensation in epigastrium,1
tension in forearms,1
neck rheumatism in dorsal region,1
weakness between shoulder blades,1
stinging pain in knee joint,1
swollen toes from excessive cold,1
lameness,1
periosteal leg bone pain,1
head drawn backward in spasm,1
rheumatic gouty stiffness of left hand,1
loin weakness,1
sensitive spinal processes to touch,1
sore in lumbo-sacral region while exercising,1
shooting in toes,1
lameness in forearms,1
self-injury attempts,1
aching in lumbo-sacral region while sitting,1
sprained deltoid feeling,1
bruised feeling in joints,1
leg pain worse standing,1
itching ears as if frostbitten,1
sharp left-side pains,1
coldness in gluteal muscles to legs,1
normal appearance except toes,1
sternum pain,1
leg pain better walking,1
sore in lumbo-sacral region while sitting,1
numbness,1
despondent,2
bruised back feeling,1
subsultus tendinum,1
rheumatic gouty stiffness of elbow,1
no tissue swelling typically,1
crick from sacrum to nape,1
bruised feeling in limbs,1
drawing pain in knee joint,1
tearing in left forearm bones,1
splinter-like pain in deltoid,1
cramps in sole,1
post-inflammatory contraction,1
frostbitten toe inflammation,1
back rheumatism in dorsal region,1
burning deep in spine,1
tearing in limbs worse rest,1
frostbitten toe pain,1
irritable,1
languor in legs,1
leg pain worse sitting,1
tearing pain in knee joint,1
shooting in fingers,1
tearing in left wrist,1
twitching gluteal muscles,1
red ears as if frostbitten,1
normal appearance except fingers,1
aching in lumbo-sacral region while exercising,1
tearing pains between shoulders,1
red fingers from excessive cold,1
sprained back feeling,1
red toes from excessive cold,1
formication along spine,1
furious delirium,1
clonic convulsions,1
tearing in left hip to knee,1
chilblains,1
throbbing in coccyx,1
severe forearm pain to thumb worse afternoons,1
numbness in left hip to knee,1
sprained neck sensation,1
splinter-like toe pain,1
shooting in knees,1
drawing pain in legs especially ankles,1
weak knee joint,1
severe forearm pain to thumb worse rest,1
pain as after stooping,1
pain in right hip as after fatigue,1
spasmodic drawing from back to stuart little to chest,1
muscle trembling,1
pressive pain in left tibia worse noon,1
from overwork causing spinal cord irritation,1
tearing in thumbs,1
tearing in limbs better motion,1
spasmodic drawing from back to esophagus,1
burning in thumbs,1
burning ears as if frostbitten,1
gouty finger stiffness,1
backache with heat disturbing sleep,1
great mental excitement,1
sprained knee joint,1
swollen fingers from excessive cold,1
dry coccyx feeling,1
stitches in olecranon,1
tearing in limbs worse sitting,1

### Top Remedies
Remedy,Symptoms_Covered
agaricus muscarius,116
agnus castus,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sternum pain,shooting pains between shoulders,1.0,1
sternum pain,violent shooting deep in spine,1.0,1
sternum pain,pressive pain in legs especially ankles,1.0,1
sternum pain,heavy legs like lead,1.0,1
sternum pain,splinter-like pain in right forearm,1.0,1
sternum pain,numbness in forearms,1.0,1
sternum pain,rheumatic pain in right deltoid worse moving arm backward,1.0,1
sternum pain,from dissipation causing spinal cord irritation,1.0,1
sternum pain,stiff tendo achillis,1.0,1
sternum pain,tearing between thumb and index,1.0,1
sternum pain,painful spine,1.0,1
sternum pain,ulcerative limb pains preventing sleep,1.0,1
sternum pain,beaten sensation after exercise,1.0,1
sternum pain,violent pain in left hip under gluteal muscles,1.0,1
sternum pain,stiffness between shoulder blades,1.0,1
sternum pain,delirium tremens,1.0,1
sternum pain,splinter-like pain in dorso-lumbar region,1.0,1
sternum pain,coldness in lumbar vertebrae to legs,1.0,1
sternum pain,sudden violent stitch in sacrum while walking,1.0,1
sternum pain,leg pain better motion,1.0,1
sternum pain,vertigo with reeling in open air,1.0,1
sternum pain,spine too weak to support when stooping,1.0,1
sternum pain,frostbitten foot pain,1.0,1
